key,code,instantiation-moment,provider-name,customer-name,goals,budget,key:project,key:client,draft-mode
contract-48,HR-123,2022/07/30 00:00,"Jaime","bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb","adios",EUR 12000.30,project-41,client-02,false
contract-49,HS-123,2022/07/30 00:00,"Jaime","bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb","adios",EUR 12000.30,project-41,client-02,false
contract-50,HT-123,2022/07/30 00:00,"Jaime","bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb","adios",EUR 12000.30,project-42,client-02,false
#
contract-51,HU-123,2022/07/30 00:00,"Jaime","Pepe","a",EUR 12000.30,project-42,client-02,false
contract-52,HV-123,2022/07/30 00:00,"Jaime","Pepe","aa",EUR 12000.30,project-42,client-02,false
contract-53,HW-123,2022/07/30 00:00,"Jaime","Pepe","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",EUR 12000.30,project-42,client-02,false
contract-54,HX-123,2022/07/30 00:00,"Jaime","Pepe","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",EUR 12000.30,project-42,client-02,false
contract-55,HY-123,2022/07/30 00:00,"Jaime","Pepe","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",EUR 12000.30,project-42,client-02,false
#
contract-56,HZ-123,2022/07/30 00:00,"Jaime","Pepe","adios",EUR 0.00,project-01,client-02,false
contract-57,HA-124,2022/07/30 00:00,"Jaime","Pepe","adios",EUR 0.01,project-16,client-02,false
contract-58,HA-125,2022/07/30 00:00,"Jaime","Pepe","adios",EUR 5000000000.00,project-42,client-02,false
contract-59,HA-126,2022/07/30 00:00,"Jaime","Pepe","adios",EUR 500.00,project-46,client-02,false
contract-60,HA-127,2022/07/30 00:00,"Jaime","Pepe","adios",EUR 1000.00,project-46,client-02,false
