key,code,title,abstract-info,cost,link,key:manager,indication,published
project-24,PRJ-0024,A,A,EUR 0.00,https://www.google.com/,manager-01,false,false
project-25,PRJ-0025,A,A,EUR 0.00,null,manager-01,true,false
project-26,PRJ-0026,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-02,false,false
project-27,PRJ-0027,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-02,false,false
project-28,PRJ-0028,aaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-02,false,false
project-29,PRJ-0029,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,A,EUR 0.00,null,manager-02,false,false
project-30,PRJ-0030,A,A,EUR 0.00,null,manager-01,false,false
project-31,PRJ-0031,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-02,false,false
project-32,PRJ-0032,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-02,false,false
project-33,PRJ-0033,A,aaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-02,false,false
project-34,PRJ-0034,A,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,EUR 0.00,null,manager-02,false,false
project-35,PRJ-0035,A,A,EUR 0.00,null,manager-02,false,false
project-36,PRJ-0036,A,A,GBP 0.00,null,manager-02,false,false
project-37,PRJ-0037,A,A,YEN 0.00,null,manager-02,false,false
project-38,PRJ-0038,A,A,USD 0.00,null,manager-02,false,false
project-39,PRJ-0039,A,A,EUR 0.00,null,manager-02,false,false
project-40,PRJ-0040,A,A,"EUR 2,500,000,000.00",null,manager-02,false,true
project-41,PRJ-0041,A,A,"EUR 5,000,000,000.00",null,manager-02,false,true
project-42,PRJ-0042,A,A,"EUR 7,500,000,000.00",null,manager-02,false,true
project-43,PRJ-0043,A,A,"EUR 9,999,999,999.00",null,manager-02,false,true
project-44,PRJ-0044,A,A,"EUR 9,999,999,999.25",null,manager-02,false,true
project-45,PRJ-0045,A,A,"EUR 9,999,999,999.50",null,manager-02,false,true
project-46,PRJ-0046,A,A,"EUR 9,999,999,999.75",null,manager-02,false,true
project-47,PRJ-0047,A,A,"EUR 9,999,999,999.99",null,manager-02,false,true
project-48,PRJ-0048,A,A,EUR 0.00,https://www.google.com/,manager-02,false,false
project-49,PRJ-0049,A,A,EUR 0.00,http://www.prueba.com/,manager-02,false,false
project-50,PRJ-0050,A,A,EUR 0.00,https://www.example.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwx,manager-02,true,false
